0, 1
1, 7
2, 2
3, 22
4, 3
5, 19
6, 0
7, 42
8, 12
9, 50
10, 4
11, 20
12, 48
13, 40
14, 72
15, 32
16, 44
17, 61
18, 41
19, 36
20, 55
21, 28
22, 57
23, 9
24, 88
25, 16
26, 92
27, 80
28, 43
29, 25
30, 35
31, 71
32, 13
33, 96
34, 66
35, 8
36, 65
37, 46
38, 47
39, 62
40, 83
41, 75
42, 93
43, 31
44, 5
45, 54
46, 6
47, 59
48, 18
49, 90
50, 76
51, 29
52, 77
53, 26
54, 86
55, 70
56, 69
57, 99
58, 53
59, 34
60, 24
61, 21
62, 49
63, 56
64, 23
65, 30
66, 38
67, 97
68, 64
69, 68
70, 91
71, 82
72, 27
73, 94
74, 15
75, 14
