0, 142
1, 105
2, 56
3, 17
4, 159
5, 86
6, 49
7, 48
8, 96
9, 162
10, 33
11, 45
12, 124
13, 101
14, 70
15, 125
16, 75
17, 93
18, 36
19, 37
20, 40
21, 30
22, 41
23, 171
24, 166
25, 65
26, 23
27, 170
28, 74
29, 111
30, 22
31, 136
32, 11
33, 138
34, 71
35, 77
36, 160
37, 164
38, 163
39, 44
40, 69
41, 66
42, 7
43, 0
44, 161
45, 146
46, 102
47, 185
48, 154
49, 32
50, 127
51, 115
52, 31
53, 46
54, 9
55, 130
56, 13
57, 181
58, 12
59, 113
60, 4
61, 55
62, 179
63, 42
64, 61
65, 139
66, 34
67, 3
68, 27
69, 64
70, 80
71, 103
72, 175
73, 47
74, 2
