0, 14
1, 102
2, 35
3, 52
4, 70
5, 5
6, 155
7, 38
8, 10
9, 48
10, 36
11, 87
12, 26
13, 120
14, 73
15, 8
16, 130
17, 153
18, 11
19, 22
20, 121
21, 167
22, 173
23, 169
24, 21
25, 108
26, 194
27, 126
28, 44
29, 41
30, 46
31, 188
32, 80
33, 174
34, 199
35, 103
36, 148
37, 65
38, 37
39, 0
40, 16
41, 56
42, 18
43, 147
44, 2
45, 181
46, 75
47, 12
48, 19
49, 1
50, 71
51, 27
52, 25
53, 17
54, 63
55, 91
56, 143
57, 79
58, 127
59, 59
60, 101
61, 39
62, 88
63, 29
64, 162
65, 31
66, 9
67, 23
68, 105
69, 128
70, 123
71, 131
72, 7
73, 4
74, 133
75, 34
76, 3
77, 30
78, 176
79, 132
